iter	RMSE
0	393.4837796
1	381.9306274
2	371.1250302
3	359.7439154
4	348.8138892
5	338.5567149
6	329.1837001
7	320.0993152
8	311.7740522
9	304.2013662
10	296.0862606
11	288.0154719
12	280.4144793
13	273.2715973
14	266.7611732
15	260.911337
16	254.6798377
17	248.4795589
18	243.1322033
19	237.6241491
20	232.5786086
21	228.0609131
22	223.7175379
23	219.0972255
24	215.2052205
25	211.266082
26	207.6433177
27	204.0505435
28	200.6798112
29	197.263923
30	194.3577298
31	191.601032
32	188.5708978
33	186.0525399
34	183.5884346
35	181.349022
36	178.9931351
37	177.0249955
38	175.3411784
39	173.4748461
40	172.0508895
41	170.0189628
42	168.4302389
43	166.9034003
44	165.2004577
45	163.8782126
46	162.5730204
47	161.0578999
48	159.8053754
49	158.6226605
50	157.3569668
51	155.9261783
52	154.9006431
53	153.7810105
54	152.6852012
55	151.6904746
56	150.7462041
57	149.7929945
58	149.1097848
59	148.3112054
60	147.6637858
61	147.1216932
62	146.4850931
63	145.7872519
64	145.115051
65	144.5231215
66	143.7714936
67	143.1297213
68	142.6317375
69	142.0404856
70	141.4749747
71	140.9436895
72	140.4079668
73	139.7698194
74	139.2375357
75	138.7190862
76	138.3113025
77	137.9213076
78	137.5837552
79	137.1946043
80	136.6236758
81	136.1784329
82	135.7306343
83	135.3243338
84	134.8432978
85	134.3955455
86	134.0310857
87	133.6358628
88	133.208826
89	132.8332338
90	132.4573632
91	132.0066545
92	131.7258318
93	131.276738
94	131.0039291
95	130.7069398
96	130.3870933
97	130.1247072
98	129.829518
99	129.5423697
100	129.2755552
101	128.943712
102	128.5504107
103	128.2025795
104	128.0258716
105	127.7767138
106	127.4517247
107	127.0639868
108	126.7970708
109	126.526603
110	126.035405
111	125.8842572
112	125.6146869
113	125.3800255
114	125.0369232
115	124.7316235
116	124.4444307
117	124.1285218
118	123.9286948
119	123.8095612
120	123.4119036
121	123.1936251
122	122.9388092
123	122.7697374
124	122.6166089
125	122.3816117
126	122.1915105
127	121.8865804
128	121.6970098
129	121.3486132
130	121.1030456
131	121.0249663
132	120.8091906
133	120.6753999
134	120.4386728
135	120.1474175
136	119.8597818
137	119.6474969
138	119.4621515
139	119.2744313
140	119.0864167
141	118.9031683
142	118.6795382
143	118.5170088
144	118.2639017
145	118.0440715
146	117.8291113
147	117.6639412
148	117.4583549
149	117.302955
150	117.005372
151	116.8005378
152	116.6332592
153	116.4367463
154	116.170936
155	115.9465422
156	115.7393883
157	115.5471304
158	115.4305433
159	115.2981803
160	115.1130893
161	115.0307847
162	114.9268838
163	114.6800639
164	114.5380488
165	114.4227871
166	114.270349
167	113.9960758
168	113.7837943
169	113.629494
170	113.3878307
171	113.1551484
172	112.9505079
173	112.8118109
174	112.631281
175	112.4850985
176	112.314158
177	112.1478065
178	111.9310874
179	111.7449922
180	111.6601686
181	111.4927781
182	111.389707
183	111.1752103
184	111.035521
185	110.8362646
186	110.7743295
187	110.6618213
188	110.5058727
189	110.3322716
190	110.2249196
191	109.8849553
192	109.7685182
193	109.669157
194	109.5371065
195	109.3713259
196	109.2208016
197	109.1588271
198	108.9901491
199	108.8613132
200	108.7564765
201	108.5927746
202	108.4347508
203	108.3316764
204	108.2099444
205	108.0867302
206	107.8532342
207	107.7411468
208	107.554368
209	107.4065809
210	107.1400683
211	106.9710335
212	106.8163298
213	106.7916715
214	106.7059152
215	106.5553564
216	106.3966973
217	106.2326945
218	106.1973468
219	106.0315977
220	105.9947069
221	105.8789807
222	105.6707229
223	105.4929314
224	105.3600454
225	105.2065003
226	105.1915744
227	105.0874619
228	105.0696371
229	105.0468349
230	104.8600602
231	104.6951843
232	104.4772461
233	104.4651899
234	104.449615
235	104.39985
236	104.3872933
237	104.2547942
238	104.1074711
239	103.9875311
240	103.8750299
241	103.8389652
242	103.6610599
243	103.6480008
244	103.4980429
245	103.352148
246	103.2267598
