iter	Passed	Remaining
0	2	2084
1	4	2152
2	6	2178
3	8	2216
4	11	2245
5	13	2193
6	15	2145
7	17	2146
8	19	2128
9	21	2130
10	23	2121
11	25	2099
12	27	2102
13	29	2084
14	31	2080
15	33	2080
16	35	2071
17	37	2061
18	39	2051
19	41	2048
20	43	2049
21	46	2045
22	47	2035
23	49	2022
24	51	2012
25	53	2002
26	55	1992
27	57	1983
28	58	1974
29	61	1974
30	63	1972
31	65	1967
32	66	1959
33	68	1952
34	70	1946
35	72	1947
36	74	1932
37	76	1928
38	77	1918
39	79	1907
40	81	1896
41	83	1894
42	84	1888
43	86	1885
44	88	1885
45	90	1880
46	92	1878
47	94	1876
48	96	1875
49	98	1870
50	100	1868
51	102	1865
52	104	1862
53	106	1857
54	107	1853
55	109	1850
56	111	1848
57	113	1848
58	115	1848
59	117	1847
60	119	1846
61	121	1844
62	123	1841
63	125	1836
64	127	1834
65	129	1829
66	131	1826
67	133	1825
68	135	1828
69	137	1827
70	139	1826
71	141	1823
72	143	1821
73	145	1821
74	147	1818
75	149	1815
76	151	1811
77	152	1805
78	154	1801
79	156	1797
80	158	1793
81	159	1790
82	162	1792
83	164	1791
84	166	1788
85	167	1784
86	169	1779
87	171	1776
88	173	1773
89	174	1768
90	176	1764
91	178	1760
92	180	1757
93	182	1755
94	183	1751
95	185	1746
96	187	1742
97	188	1738
98	190	1735
99	192	1731
100	194	1728
101	195	1724
102	197	1720
103	199	1717
104	200	1712
105	202	1709
106	204	1705
107	206	1702
108	207	1698
109	209	1694
110	211	1691
111	212	1686
112	214	1681
113	215	1677
114	217	1672
115	218	1667
116	220	1663
117	222	1660
118	223	1657
119	225	1653
120	227	1649
121	228	1645
122	230	1641
123	231	1637
124	233	1635
125	235	1633
126	237	1632
127	238	1627
128	240	1622
129	241	1619
130	243	1616
131	245	1613
132	246	1608
133	248	1602
134	249	1597
135	250	1593
136	252	1589
137	253	1585
138	255	1584
139	257	1579
140	258	1576
141	260	1575
142	262	1571
143	263	1567
144	265	1566
145	267	1564
146	269	1563
147	271	1562
148	273	1560
149	274	1556
150	276	1552
151	277	1550
152	279	1547
153	281	1545
154	282	1542
155	284	1538
156	286	1536
157	287	1534
158	289	1532
159	291	1529
160	292	1525
161	294	1523
162	296	1521
163	297	1517
164	299	1514
165	300	1510
166	302	1507
167	303	1504
168	305	1501
169	306	1497
170	308	1494
171	309	1491
172	311	1488
173	312	1485
174	314	1482
175	316	1479
176	317	1476
177	319	1473
178	320	1470
179	322	1470
180	324	1468
181	326	1465
182	327	1461
183	328	1458
184	330	1454
185	331	1451
186	333	1447
187	334	1444
188	335	1440
189	337	1438
190	338	1434
191	340	1431
192	341	1427
193	342	1423
194	344	1420
195	345	1417
196	347	1414
197	348	1411
198	349	1408
199	351	1404
200	352	1401
201	354	1398
202	355	1395
203	356	1392
204	358	1389
205	359	1385
206	360	1382
207	362	1378
208	363	1375
209	364	1371
210	366	1368
211	367	1366
212	369	1364
213	370	1362
214	372	1358
215	373	1355
216	374	1352
217	376	1349
218	377	1346
219	378	1343
220	380	1339
221	381	1336
222	382	1334
223	384	1331
224	385	1328
225	387	1325
226	388	1322
227	389	1320
228	391	1317
229	392	1314
230	393	1311
231	395	1308
232	396	1305
233	397	1301
234	398	1298
235	400	1295
236	401	1292
237	402	1289
238	404	1286
239	405	1284
240	407	1282
241	408	1279
242	410	1277
243	411	1273
244	412	1272
245	415	1274
246	417	1272
247	419	1272
248	421	1270
249	422	1268
250	424	1267
251	426	1265
252	428	1264
253	429	1262
254	430	1259
255	432	1256
256	434	1255
257	435	1253
258	437	1251
259	438	1248
260	440	1245
261	441	1243
262	443	1241
263	444	1240
264	446	1237
265	447	1234
266	448	1232
267	450	1229
268	451	1227
269	453	1225
270	454	1222
271	456	1220
272	457	1218
273	459	1216
274	460	1214
275	461	1211
276	463	1209
277	465	1208
278	466	1206
279	468	1203
280	469	1201
281	471	1199
282	472	1197
283	473	1194
284	475	1192
285	476	1190
286	478	1188
287	479	1186
288	481	1185
289	484	1185
290	486	1185
291	488	1183
292	489	1182
293	491	1180
294	493	1178
295	495	1177
296	496	1175
297	498	1174
298	500	1172
299	501	1170
300	503	1169
301	505	1168
302	507	1166
303	508	1164
304	510	1162
305	511	1160
306	513	1159
307	514	1157
308	516	1154
309	518	1153
310	519	1151
311	521	1149
312	522	1147
313	529	1156
314	531	1155
315	533	1154
316	535	1153
317	536	1151
318	538	1149
319	539	1146
320	541	1144
321	542	1142
322	544	1141
323	546	1139
324	548	1138
325	550	1137
326	551	1135
327	552	1132
328	554	1130
329	555	1128
330	557	1126
331	559	1125
332	561	1124
333	562	1122
334	563	1119
335	565	1117
336	566	1115
337	568	1113
338	569	1111
339	571	1110
340	573	1108
341	575	1106
342	576	1104
343	577	1101
344	579	1099
345	580	1097
346	582	1095
347	583	1093
348	584	1091
349	586	1088
350	587	1086
351	589	1084
352	590	1082
353	592	1080
354	593	1078
355	594	1076
356	596	1073
357	597	1071
358	599	1069
359	600	1067
360	602	1066
361	606	1068
362	607	1066
363	609	1064
364	610	1062
365	611	1060
366	613	1058
367	615	1056
368	616	1054
369	617	1052
370	619	1049
371	620	1047
372	622	1045
373	623	1043
374	624	1041
375	626	1039
376	627	1037
377	629	1035
378	630	1033
379	632	1031
380	633	1029
381	634	1027
382	636	1025
383	637	1023
384	639	1021
385	640	1019
386	642	1017
387	643	1014
388	644	1012
389	646	1010
390	647	1008
391	648	1006
392	650	1004
393	651	1002
394	652	1000
395	654	998
396	655	996
397	657	994
398	658	991
399	659	989
400	661	987
401	662	985
402	663	983
403	665	981
404	666	979
405	668	977
406	669	975
407	671	973
408	672	971
409	674	969
410	675	967
411	676	965
412	678	963
413	679	961
414	680	959
415	682	957
416	683	955
417	685	953
418	686	951
419	687	949
420	689	947
421	690	945
422	691	943
423	693	941
424	694	940
425	696	938
426	697	935
427	698	934
428	700	932
429	701	930
430	703	928
431	704	926
432	706	925
433	708	924
434	710	922
435	711	920
436	713	919
437	714	917
438	716	915
439	718	913
440	719	912
441	721	911
442	723	909
443	725	908
444	727	906
445	728	905
446	730	903
447	732	902
448	734	901
449	736	899
450	737	898
451	739	896
452	741	895
453	742	893
454	744	892
455	747	891
456	748	889
457	750	888
458	751	886
459	753	884
460	755	882
461	757	881
462	758	879
463	760	878
464	761	876
465	763	874
466	765	873
467	766	871
468	768	869
469	770	868
470	771	866
471	773	864
472	774	862
473	776	861
474	777	859
475	779	857
476	780	856
477	782	854
478	784	852
479	785	851
480	786	849
481	788	847
482	789	845
483	791	843
484	792	841
485	793	839
486	795	838
487	797	836
488	798	834
489	799	832
490	801	830
491	802	828
492	804	826
493	805	825
494	807	823
495	808	821
496	809	819
497	811	817
498	812	815
499	813	813
500	815	812
501	816	810
502	818	808
503	819	806
504	820	804
505	822	802
506	823	800
507	824	798
508	826	797
509	827	795
510	829	793
511	830	791
512	831	789
513	833	788
514	834	786
515	836	784
516	837	782
517	838	780
518	840	778
519	841	777
520	843	775
521	844	773
522	846	771
523	847	769
524	849	768
525	850	766
526	851	764
527	853	762
528	854	760
529	855	758
530	857	757
531	858	755
532	859	753
533	861	751
534	862	749
535	863	747
536	865	745
537	866	744
538	867	742
539	869	740
540	870	738
541	872	736
542	873	735
543	874	733
544	876	731
545	877	729
546	878	727
547	880	725
548	881	724
549	882	722
550	884	720
551	885	718
552	887	717
553	888	715
554	890	713
555	891	712
556	893	710
557	894	708
558	896	706
559	897	705
560	898	703
561	900	701
562	901	700
563	903	698
564	904	696
565	906	694
566	907	692
567	908	691
568	910	689
569	911	687
570	913	686
571	914	684
572	916	682
573	917	680
574	918	679
575	920	677
576	921	675
577	923	674
578	924	672
579	925	670
580	926	668
581	928	666
582	929	664
583	931	663
584	932	661
585	933	659
586	935	658
587	936	656
588	938	654
589	939	652
590	941	651
591	942	649
592	943	647
593	945	646
594	946	644
595	948	642
596	949	640
597	950	639
598	952	637
599	952	635
600	954	633
601	955	631
602	957	630
603	958	628
604	960	626
605	961	625
606	962	623
607	964	621
608	965	619
609	967	618
610	968	616
611	970	615
612	971	613
613	973	611
614	974	610
615	975	608
616	977	606
617	978	604
618	980	603
619	981	601
620	982	599
621	984	598
622	985	596
623	987	594
624	988	593
625	990	591
626	991	589
627	992	588
628	994	586
629	995	584
630	997	583
631	998	581
632	999	579
633	1001	578
634	1002	575
635	1003	574
636	1004	572
637	1006	570
638	1007	569
639	1009	567
640	1010	565
641	1011	563
642	1012	562
643	1014	560
644	1015	558
645	1016	557
646	1018	555
647	1019	553
648	1021	552
649	1022	550
650	1023	548
651	1025	547
652	1026	545
653	1028	544
654	1029	542
655	1030	540
656	1032	539
657	1033	537
658	1035	535
